Date,Open,High,Low,Close,Adj Close,Volume
2022-02-14,293.769989,296.760010,291.350006,295.000000,294.391296,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,299.850006,27058300
2022-02-16,298.369995,300.869995,293.679993,299.500000,299.500000,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,290.730011,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,287.929993,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,287.720001,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,280.269989,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,294.589996,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,297.309998,32546700
2022-02-28,294.309998,299.140015,293.000000,298.790009,298.790009,34585700
2022-03-01,296.399994,299.970001,292.149994,294.950012,294.950012,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,300.190002,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,295.920013,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,289.859985,32356500
2022-03-07,288.529999,289.690002,278.529999,278.910004,278.910004,43157200
2022-03-08,277.799988,283.959991,270.000000,275.850006,275.850006,48159500
2022-03-09,283.440002,289.600006,280.779999,288.500000,288.500000,35204500
2022-03-10,283.019989,286.600006,280.579987,285.589996,285.589996,30628000
2022-03-11,287.959991,289.510010,279.429993,280.070007,280.070007,27192600
2022-03-14,280.339996,285.399200,275.820007,276.440002,276.440002,30660747
